id,qname,label,kind,module,comment,sources,punned
http://example.org/smartcity#AHP_consistency_threshold,ex:AHP_consistency_threshold,AHP consistency threshold,datatype_property,governance,,"[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#AIModel,ex:AIModel,AI Model,class,orchestration,Stress prediction model. Exists at different quality levels per continuum layer.,"[""ontology/modules/orchestration.ttl""]",False
http://example.org/smartcity#AccelerometerSensor,ex:AccelerometerSensor,Accelerometer Sensor,class,wellbeing,Determines user mobility and physical activity.,"[""ontology/domains/wellbeing/schema.ttl""]",False
http://example.org/smartcity#AcceptanceProfile,ex:AcceptanceProfile,Acceptance Profile,class,governance,,"[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#AdaptabilityLevel,ex:AdaptabilityLevel,Adaptability Level,class,orchestration,,"[""ontology/modules/orchestration.ttl""]",False
http://example.org/smartcity#AdaptationAction,ex:AdaptationAction,Adaptation Action,class,orchestration,Auditable action produced by an EvaluationState.,"[""ontology/modules/orchestration.ttl""]",False
http://example.org/smartcity#AnonymousIdentifier,ex:AnonymousIdentifier,Anonymous Identifier,class,governance,,"[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#Artifact,ex:Artifact,Artifact,class,governance,Versionable project artifact.,"[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#AuthorityScope,ex:AuthorityScope,Authority scope,class,deployment,,"[""ontology/modules/deployment.ttl""]",False
http://example.org/smartcity#AuthorizationDecision,ex:AuthorizationDecision,Authorization Decision,class,governance,"Effective authorization obtained from the intersection of consent record, contract, zone and hard restrictions.","[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#AuthorizationOutcome,ex:AuthorizationOutcome,Authorization Outcome,class,governance,,"[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#AvailabilityLevel,ex:AvailabilityLevel,Availability Level,class,observability,,"[""ontology/modules/observability.ttl""]",False
http://example.org/smartcity#BatteryLevel,ex:BatteryLevel,Battery Level,class,observability,,"[""ontology/modules/observability.ttl""]",False
http://example.org/smartcity#BufferRecord,ex:BufferRecord,Buffer Record,class,orchestration,Temporary retained data record governed by authorization and storage policies.,"[""ontology/modules/orchestration.ttl""]",False
http://example.org/smartcity#CityArea,ex:CityArea,City Area,class,topology,,"[""ontology/modules/topology.ttl""]",False
http://example.org/smartcity#CloudNode,ex:CloudNode,Cloud Node,class,topology,Cloud continuum node for global processing. Selection is conditional on authorization and policies; it is not intrinsically preferred.,"[""ontology/modules/topology.ttl""]",False
http://example.org/smartcity#CommunicationLevel,ex:CommunicationLevel,Communication Level,class,observability,,"[""ontology/modules/observability.ttl""]",False
http://example.org/smartcity#Community,ex:Community,Community,class,topology,"Group of users with similar mobility patterns and routines (neighbourhood, floor, hospital ward).","[""ontology/modules/topology.ttl""]",False
http://example.org/smartcity#ComplianceMetric,ex:ComplianceMetric,Compliance Metric,class,observability,,"[""ontology/modules/observability.ttl""]",False
http://example.org/smartcity#ComputationalNode,ex:ComputationalNode,Computational Node,class,topology,Continuum architecture node capable of hosting models and processing data.,"[""ontology/modules/topology.ttl""]",False
http://example.org/smartcity#ConflictResolutionStrategy,ex:ConflictResolutionStrategy,Conflict Resolution Strategy,class,governance,,"[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#ConsentRange,ex:ConsentRange,Consent Range,class,governance,"Maximum processing scope declared by consent/contract. Includes LocalOnly, CommunityAgg, GlobalAgg and Denied/Revoked. Effective authorization is computed independently.","[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#ConsentRecord,ex:ConsentRecord,Consent Record,class,governance,User-declared consent decision independent from the semantic contract.,"[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#D_delegation_max,ex:D_delegation_max,maximum delegation depth,datatype_property,governance,,"[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#DataCategory,ex:DataCategory,Data Category,class,governance,"Semantic category of information governed by consent, privacy and transmission policies.","[""ontology/modules/governance.ttl""]",False
http://example.org/smartcity#DataContext,ex:DataContext,Data Context,class,observability,Operational context associated with data or a processing/transfer event.,"[""ontology/modules/observability.ttl""]",False
